Timestamp,Transacao ID,Data,Valor,Bandeira,Banco Emissor,Mensagem Processamento,Status Transacao
2024-01-15 12:08:23,8457-2b7947b60691,1705320503505,11000,visa,Neon Pagamentos S.A.,NAO AUTORIZADA,DECLINED
2024-01-15 12:08:23,880e-b6b83abe8f78,1705320503429,6924,visa,Banco Bradesco S.A.,TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:08:23,bf08-44c4a938da66,1705320503421,4791,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:08:23,ac01-9da2def69b33,1705320503418,11000,mastercard,NU PAGAMENTOS SA,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:23,8924-2beed67fd7be,1705320503265,1200,elo,Banco Pan SA,SUCESSO,PAID
2024-01-15 12:08:22,b543-ab6fdf2b5099,1705320502885,16900,visa,Banco Santander S.A.,SUCESSO,PAID
2024-01-15 12:08:22,b172-ea02607a1a27,1705320502830,58173,visa,Banco Bradesco S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:08:22,8b50-83a25bb84cfe,1705320502814,495,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:08:22,a9a3-dff4314c312b,1705320502639,3500,visa,Banco do Brasil S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:22,bce9-fc23c53421eb,1705320502545,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:22,8d98-d46a5e78bfea,1705320502484,7902,mastercard,BANCO ORIGINAL,NAO AUTORIZADA,DECLINED
2024-01-15 12:08:22,a54c-6ebb08379ba0,1705320502407,495,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:22,92ad-a6dcb8cf58f2,1705320502051,100000,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:21,9b85-f3b3a8592dae,1705320501955,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:21,a638-bf91d78babbd,1705320501892,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:21,9cb6-b5ab988dd09f,1705320501408,5500,visa,Banco Bradescard S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:08:21,aaf6-f6a1aef8320b,1705320501140,50447,visa,Banco Santander S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:08:21,9761-51cb6c741c54,1705320501136,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:21,8dc2-9131d08ac577,1705320501006,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:20,a958-97a1ba609734,1705320500347,22208,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:20,97e3-a899e1c8948e,1705320500220,11200,mastercard,BANCO INTER S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:08:19,af0b-f24c9a1ae26d,1705320499831,495,mastercard,BANCO INTER S.A.,SUCESSO,PAID
2024-01-15 12:08:19,a192-e00382b18378,1705320499824,94820,mastercard,BANCO ORIGINAL,NAO AUTORIZADA,DECLINED
2024-01-15 12:08:19,aa72-45ef7ec8a644,1705320499294,100000,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:18,a724-4ac0a36056fd,1705320498749,100,mastercard,PAGSEGURO INTERNET LTDA,SUCESSO,PAID
2024-01-15 12:08:18,a881-c5785da98e0b,1705320498708,14330,mastercard,"WILL FINANCEIRA S.A. CREDITO,",NAO AUTORIZADA,DECLINED
2024-01-15 12:08:18,a0f3-92614da173b3,1705320498364,18000,elo,Caixa Economica Federal,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:18,b3a8-69d47956e1ec,1705320498190,1299,mastercard,BANCO CSF S/A,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:16,ab2a-bc68937aa9df,1705320496845,5500,mastercard,BANCO SANTANDER (BRASIL) S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:08:16,8051-973f7ea53f60,1705320496591,100000,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:15,9ac1-758b7fe10d5b,1705320495053,19573,mastercard,"WILL FINANCEIRA S.A. CREDITO,",SUCESSO,PAID
2024-01-15 12:08:15,9e41-b2312bd710fd,1705320495012,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:14,8170-4bf3d6a663b8,1705320494936,15389,mastercard,"BANCO DO BRASIL, S.A.",NAO AUTORIZADA,DECLINED
2024-01-15 12:08:14,9eee-ded7b6694352,1705320494771,5900,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:08:14,a89d-3a3df554add6,1705320494637,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:14,af5d-7ca13a657ba9,1705320494549,98232,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:14,a43e-61d66a2936ed,1705320494532,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:08:14,8190-042291ddd593,1705320494493,100,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:14,ad81-3393b061dcbd,1705320494414,100,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:08:14,9800-a8e09245a221,1705320494288,79900,mastercard,BANCO C6 SA,SUCESSO,PAID
2024-01-15 12:08:14,98ba-e6d657d982c6,1705320494173,100,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
2024-01-15 12:08:14,985f-d04aa3f47f6e,1705320494156,4900,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
