,timestamp,transacao_id,data,valor,bandeira,banco_emissor,mensagem_processamento,status_transacao,reference_month,part_of_day,year,month,day,day_name,hour,minutes
46,2024-01-15 12:15:35,aa5e-acc6ecd340b9,1705320935308,10500,MASTERCARD,ITAU UNIBANCO S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
47,2024-01-15 12:15:35,89f4-2308ec241703,1705320935240,5175,VISA,BANCO BRADESCARD S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
48,2024-01-15 12:15:35,8183-faa06f4a3a93,1705320935081,14000,MASTERCARD,CAIXA ECONOMICA FEDERAL,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
49,2024-01-15 12:15:34,9f1d-f597932427a8,1705320934609,20000,MASTERCARD,BANCO SANTANDER (BRASIL) S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
50,2024-01-15 12:15:34,8a64-8e20883c2469,1705320934603,3990,VISA,BANCO SANTANDER S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
51,2024-01-15 12:15:34,a7ff-b3d1818d857d,1705320934472,6000,VISA,BANCO BRADESCO S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
52,2024-01-15 12:15:34,8b9e-a135ef2888fb,1705320934339,40988,MASTERCARD,BANCO BRADESCARD S.A.,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
53,2024-01-15 12:15:34,8223-487aea9fb608,1705320934254,2450,MASTERCARD,NU PAGAMENTOS S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED,2024-01-01,Afternoon,2024,1,15,Monday,12,15
54,2024-01-15 12:15:34,9805-fabe3620b056,1705320934045,4400,MASTERCARD,NU PAGAMENTOS S.A.,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
55,2024-01-15 12:15:33,9299-d82651635a5e,1705320933498,100,ELO,FACTA FINANCEIRA S.A. CREDITO FINAN E INVE,SUCESSO,PAID,2024-01-01,Afternoon,2024,1,15,Monday,12,15
